Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,5.699999809265137,5.800000190734863,5.650000095367432,5.800000190734863,5.800000190734863,1067749
2022-01-04,6.050000190734863,6.050000190734863,5.650000095367432,5.900000095367432,5.900000095367432,1437726
2022-01-05,5.949999809265137,6.0,5.699999809265137,5.800000190734863,5.800000190734863,576688
2022-01-06,6.0,6.050000190734863,5.75,6.0,6.0,1181862
2022-01-07,6.199999809265137,6.25,6.0,6.199999809265137,6.199999809265137,1134376
2022-01-10,6.449999809265137,6.5,6.400000095367432,6.5,6.5,598763
2022-01-11,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,298342
2022-01-12,7.099999904632568,7.099999904632568,6.5,6.650000095367432,6.650000095367432,2373965
2022-01-13,6.599999904632568,6.849999904632568,6.349999904632568,6.349999904632568,6.349999904632568,251300
2022-01-14,6.050000190734863,6.300000190734863,6.050000190734863,6.150000095367432,6.150000095367432,416603
2022-01-17,5.900000095367432,6.150000095367432,5.849999904632568,5.949999809265137,5.949999809265137,899488
2022-01-18,5.75,5.900000095367432,5.699999809265137,5.699999809265137,5.699999809265137,305556
2022-01-19,5.449999809265137,5.599999904632568,5.449999809265137,5.449999809265137,5.449999809265137,105957
2022-01-20,5.199999809265137,5.599999904632568,5.199999809265137,5.400000095367432,5.400000095367432,387777
2022-01-21,5.199999809265137,5.599999904632568,5.150000095367432,5.349999904632568,5.349999904632568,263489
2022-01-24,5.5,5.5,5.099999904632568,5.099999904632568,5.099999904632568,241094
2022-01-25,4.849999904632568,5.25,4.849999904632568,5.0,5.0,149929
2022-01-27,5.0,5.25,4.800000190734863,5.199999809265137,5.199999809265137,135906
2022-01-28,5.199999809265137,5.449999809265137,5.050000190734863,5.25,5.25,248887
2022-01-31,5.449999809265137,5.449999809265137,5.0,5.099999904632568,5.099999904632568,239364
2022-02-01,5.099999904632568,5.300000190734863,4.900000095367432,5.099999904632568,5.099999904632568,247832
2022-02-02,5.099999904632568,5.25,4.949999809265137,5.050000190734863,5.050000190734863,135495
2022-02-03,5.25,5.300000190734863,4.800000190734863,4.849999904632568,4.849999904632568,421032
2022-02-04,4.849999904632568,5.050000190734863,4.75,4.949999809265137,4.949999809265137,199135
2022-02-07,5.150000095367432,5.150000095367432,4.75,4.75,4.75,224451
2022-02-08,4.75,4.949999809265137,4.550000190734863,4.550000190734863,4.550000190734863,260745
2022-02-09,4.650000095367432,4.699999809265137,4.449999809265137,4.599999904632568,4.599999904632568,101981
2022-02-10,4.449999809265137,4.699999809265137,4.449999809265137,4.5,4.5,394854
2022-02-11,4.5,4.699999809265137,4.349999904632568,4.599999904632568,4.599999904632568,221447
2022-02-14,4.800000190734863,4.800000190734863,4.400000095367432,4.650000095367432,4.650000095367432,419384
2022-02-15,4.75,4.849999904632568,4.599999904632568,4.849999904632568,4.849999904632568,270645
2022-02-16,5.050000190734863,5.050000190734863,4.900000095367432,5.0,5.0,469593
2022-02-17,5.199999809265137,5.199999809265137,4.900000095367432,4.900000095367432,4.900000095367432,242675
2022-02-18,4.800000190734863,4.949999809265137,4.699999809265137,4.75,4.75,248726
2022-02-21,4.75,4.800000190734863,4.550000190734863,4.550000190734863,4.550000190734863,358658
2022-02-22,4.349999904632568,4.599999904632568,4.349999904632568,4.5,4.5,386029
2022-02-23,4.5,4.699999809265137,4.349999904632568,4.449999809265137,4.449999809265137,382659
2022-02-24,4.300000190734863,4.300000190734863,4.25,4.25,4.25,222271
2022-02-25,4.099999904632568,4.449999809265137,4.050000190734863,4.349999904632568,4.349999904632568,555556
2022-02-28,4.349999904632568,4.349999904632568,4.150000095367432,4.150000095367432,4.150000095367432,386187
2022-03-02,4.150000095367432,4.349999904632568,4.050000190734863,4.349999904632568,4.349999904632568,310075
2022-03-03,4.5,4.550000190734863,4.449999809265137,4.550000190734863,4.550000190734863,320725
2022-03-04,4.75,4.75,4.550000190734863,4.75,4.75,488322
2022-03-07,4.949999809265137,4.949999809265137,4.949999809265137,4.949999809265137,4.949999809265137,270725
2022-03-08,5.150000095367432,5.150000095367432,5.150000095367432,5.150000095367432,5.150000095367432,147372
2022-03-09,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,159584
2022-03-10,5.650000095367432,5.650000095367432,5.650000095367432,5.650000095367432,5.650000095367432,276391
2022-03-11,5.900000095367432,5.900000095367432,5.900000095367432,5.900000095367432,5.900000095367432,186017
2022-03-14,6.150000095367432,6.150000095367432,6.150000095367432,6.150000095367432,6.150000095367432,231742
2022-03-15,6.449999809265137,6.449999809265137,6.449999809265137,6.449999809265137,6.449999809265137,161989
2022-03-16,6.75,6.75,6.75,6.75,6.75,184353
2022-03-17,7.050000190734863,7.050000190734863,7.050000190734863,7.050000190734863,7.050000190734863,310856
2022-03-21,7.400000095367432,7.400000095367432,7.349999904632568,7.400000095367432,7.400000095367432,2572465
2022-03-22,7.75,7.75,7.75,7.75,7.75,430105
2022-03-23,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,358301
2022-03-24,8.5,8.5,8.5,8.5,8.5,421191
2022-03-25,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,2697889
2022-03-28,9.300000190734863,9.300000190734863,8.5,8.5,8.5,3567577
2022-03-29,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,583012
2022-03-30,7.699999809265137,7.699999809265137,7.699999809265137,7.699999809265137,7.699999809265137,445125
2022-03-31,7.349999904632568,7.699999809265137,7.349999904632568,7.349999904632568,7.349999904632568,3408311
2022-04-01,7.0,7.699999809265137,7.0,7.699999809265137,7.699999809265137,3005585
2022-04-04,8.050000190734863,8.050000190734863,7.349999904632568,7.550000190734863,7.550000190734863,3072816
2022-04-05,7.400000095367432,7.900000095367432,7.400000095367432,7.900000095367432,7.900000095367432,1428261
2022-04-06,8.25,8.25,8.100000381469727,8.25,8.25,708987
2022-04-07,8.649999618530273,8.649999618530273,7.949999809265137,8.600000381469727,8.600000381469727,1974709
2022-04-08,8.800000190734863,9.0,8.199999809265137,8.300000190734863,8.300000190734863,2258484
2022-04-11,7.900000095367432,8.100000381469727,7.900000095367432,7.949999809265137,7.949999809265137,1112282
2022-04-12,7.599999904632568,7.800000190734863,7.599999904632568,7.599999904632568,7.599999904632568,417440
2022-04-13,7.25,7.699999809265137,7.25,7.349999904632568,7.349999904632568,837602
2022-04-18,7.699999809265137,7.699999809265137,7.0,7.400000095367432,7.400000095367432,1337741
2022-04-19,7.599999904632568,7.599999904632568,7.199999809265137,7.25,7.25,559966
2022-04-20,7.449999809265137,7.449999809265137,6.900000095367432,7.050000190734863,7.050000190734863,846854
2022-04-21,7.199999809265137,7.199999809265137,6.949999809265137,7.050000190734863,7.050000190734863,803299
2022-04-22,6.75,7.199999809265137,6.75,7.050000190734863,7.050000190734863,523110
2022-04-25,7.0,7.300000190734863,6.75,6.849999904632568,6.849999904632568,692035
2022-04-26,6.849999904632568,6.849999904632568,6.550000190734863,6.599999904632568,6.599999904632568,748100
2022-04-27,6.599999904632568,6.900000095367432,6.300000190734863,6.900000095367432,6.900000095367432,858098
2022-04-28,7.199999809265137,7.199999809265137,7.199999809265137,7.199999809265137,7.199999809265137,261616
2022-04-29,7.5,7.5,6.849999904632568,6.949999809265137,6.949999809265137,547981
2022-05-02,6.949999809265137,7.0,6.650000095367432,6.699999809265137,6.699999809265137,420833
2022-05-04,6.699999809265137,6.849999904632568,6.400000095367432,6.5,6.5,424319
2022-05-05,6.400000095367432,6.75,6.349999904632568,6.449999809265137,6.449999809265137,394590
2022-05-06,6.349999904632568,6.5,6.150000095367432,6.150000095367432,6.150000095367432,412718
2022-05-09,6.0,6.25,5.900000095367432,6.0,6.0,342194
2022-05-10,5.900000095367432,6.199999809265137,5.75,5.900000095367432,5.900000095367432,421836
2022-05-11,6.0,6.0,5.650000095367432,5.650000095367432,5.650000095367432,438199
2022-05-12,5.400000095367432,5.599999904632568,5.400000095367432,5.400000095367432,5.400000095367432,217043
2022-05-13,5.150000095367432,5.550000190734863,5.150000095367432,5.300000190734863,5.300000190734863,600969
2022-05-16,5.5,5.550000190734863,5.300000190734863,5.550000190734863,5.550000190734863,186180
2022-05-17,5.75,5.800000190734863,5.699999809265137,5.800000190734863,5.800000190734863,183224
2022-05-18,6.050000190734863,6.050000190734863,6.050000190734863,6.050000190734863,6.050000190734863,92851
2022-05-19,6.349999904632568,6.349999904632568,6.349999904632568,6.349999904632568,6.349999904632568,212105
2022-05-20,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,256210
2022-05-23,6.949999809265137,6.949999809265137,6.949999809265137,6.949999809265137,6.949999809265137,324694
2022-05-24,6.949999809265137,6.949999809265137,6.949999809265137,6.949999809265137,6.949999809265137,0
2022-05-25,6.949999809265137,6.949999809265137,6.949999809265137,6.949999809265137,6.949999809265137,0
2022-05-26,6.949999809265137,6.949999809265137,6.949999809265137,6.949999809265137,6.949999809265137,0
2022-05-27,6.949999809265137,6.949999809265137,6.949999809265137,6.949999809265137,6.949999809265137,0
2022-05-30,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,364396
2022-05-31,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2022-06-01,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2022-06-02,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
